FEP_BUILDING,COMMON_NAME,FEP_BUILDING_DESC,FEP_BUILDING_ABBR,FEP_BUILDING_X_COORDINATE,FEP_BUILDING_Y_COORDINATE,FEP_BUILDING_GROSS_SQFT,ASSIGNABLE,NON_ASSIGNABLE,USABLE,FEP_BUILDING_CLASS
196,Greenhouse,Greenhouse,GHS,29.718803,-95.402920,3491.070000,3457.660000,0.000000,3457.660000,Sci. Research
197,Day Care Center,Rice Childrens Campus,RCC,29.716480,-95.414378,9690.330000,8508.290000,245.000000,8753.290000,Support
198,Recreation Center,Barbara and David Gibbs Recreation and Wellness Center,GRW,29.718195,-95.403744,114676.980000,69586.660000,33002.810000,102589.470000,Student Life
199,Rice Village Apartments,Rice Village Apartments,RVA,29.714418,-95.415897,116997.420000,84673.240000,17708.290000,102381.520000,Residence Hall
203,Brockman Hall,Brockman Hall for Physics,BRK,29.719734,-95.401649,123226.520000,62061.400000,47166.840000,109228.230000,Sci. Research
205,Wilson House,Wilson House (Wiess College Magisters House),WIL,29.714727,-95.399837,4093.490000,3649.760000,7.020000,3656.780000,Support
206,Seibel Servery,Abe and Annie Seibel Servery,SBV,29.715970,-95.398403,12104.260000,9262.580000,1767.920000,11030.500000,Student Life
208,Anderson-Clarke,Anderson-Clarke Center,ACC,29.714392,-95.406802,56874.200000,29439.520000,16194.010000,45633.530000,Academic
209,Moody Center,Moody Center for The Arts,MCA,29.714049,-95.405531,64123.830000,30651.620000,25883.220000,56534.840000,Academic
210,GRB Tennis Center,George R. Brown Tennis Center,TEN,29.717900,-95.408310,9066.150000,7562.870000,258.610000,7821.480000,Athletic
211,Cambridge,Cambridge Office Building,COB,29.717070,-95.397530,237336.560000,199025.760000,24192.330000,223218.090000,Administrative
212,Brian Patterson,Brian Patterson Sports Performance Center,PAT,29.717266,-95.409333,70600.690000,46567.240000,18418.470000,64985.710000,Athletic
213,Brockman Hall for Opera,Brockman Hall for Opera,BHO,,,120226.850000,42172.030000,50098.270000,92270.300000,Academic
214,Kraft Hall,Patricia Lipoma '87 and Jonathan A. Kraft Hall for Social Sciences,KRF,,,88498.020000,44452.990000,32738.950000,77191.940000,Academic
215,Will Rice Magisters House,Will Rice College Magisters House,,29.716804,-95.399699,5420.640000,4726.560000,14.850000,4741.420000,Support
216,Sid Richardson College,Sid W. Richardson College,SRC,,,147691.160000,80904.500000,45146.160000,126050.660000,Residence Hall
217,Bubble,Robert L. Waltrip Indoor Training Center,WAL,,,80195.530000,79796.640000,0.000000,79796.640000,Athletic
218,Provisional Campus Facility,Provisional Campus Facility,PCF,,,15247.060000,14281.500000,0.000000,14281.500000,Academic
219,5555 Morningside,5555 Morningside,MOR,,,15233.000000,10461.680000,3507.720000,13969.410000,Administrative
221,Rice Village Townhomes,2405 Shakespeare,RT1,,,10135.520000,8732.370000,49.700000,8782.070000,Residence Hall
222,Rice Village Townhomes,2401 Shakespeare,RT2,,,10132.320000,8727.960000,49.700000,8777.660000,Residence Hall
223,Rice Village Townhomes,5808 Morningside,RT3,,,10138.300000,8712.920000,57.670000,8770.580000,Residence Hall
224,Rice Village Townhomes,5806 Morningside,RT4,,,10138.300000,8532.450000,188.870000,8721.310000,Residence Hall
225,O'Connor Engineering and Science,Ralph S. O'Connor Building for Engineering and Science,OES,,,270635.110000,139642.710000,83806.730000,223449.440000,Sci. Research
226,Sarofim Hall,Susan and Fayez Sarofim Hall,SFH,,,104484.010000,46894.650000,43253.490000,90148.140000,Academic
228,Cannady Hall,William T. Cannady Hall,WCH,,,21409.130000,12824.510000,6110.270000,18934.770000,Academic
229,Hanszen Magisters House,Hanszen College Magisters House,HNM,,,6081.530000,5182.260000,262.650000,5444.910000,Support
230,Ion,The Ion,ION,,,0.000000,0.000000,0.000000,0.000000,Administrative
231,West Lot 5 Mod Bldgs,West Lot 5 MB1,MB1,,,1514.670000,1370.660000,0.000000,1370.660000,Administrative
232,West Lot 5 Mod Bldgs,West Lot 5 MB2,MB2,,,1514.670000,699.070000,672.080000,1371.150000,Administrative
233,West Lot 5 Mod Bldgs,West Lot 5 MB3,MB3,,,1514.670000,1394.700000,0.000000,1394.700000,Administrative
234,West Lot 5 Mod Bldgs,West Lot 5 MB4,MB4,,,1514.670000,1425.670000,0.000000,1425.670000,Administrative
235,West Lot 5 Mod Bldgs,West Lot 5 MB5,MB5,,,1514.670000,1407.090000,0.000000,1407.090000,Administrative
236,West Lot 5 Mod Bldgs,West Lot 5 MB6,MB6,,,1514.670000,1425.670000,0.000000,1425.670000,Administrative
241,TMC3,TMC3 – Helix Park,TMH,,,5656.950000,5171.540000,0.000000,5171.540000,Academic
E1064,TUN,Campus Tunnel System,,,,0.000000,0.000000,0.000000,0.000000,Infrastructure
